Province/State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20
Shaanxi,3.39,3.27,3.57,3.82,2.5,2.14,2.76,3.26,4.07,4.4,5.03,4.81,5.49,4.88,5.12,4.39,4.64,4.21,4.93,4.39,4.84,4.86,3.81,3.16,4.05,4.01,3.72,3.82,3.68,3.51,3.47,2.58,2.27,2.02,1.98,2.18,3.32,4.67,5.55,5.76,5.84,5.31,5.2,5.88,5.46,5.16,5.74,5.32,4.48,5.03,5.37,4.89,3.28
Yunnan,1.2,1.12,0.95,0.61,1.08,2.36,1.45,0.92,0.64,0.37,0.32,0.5,0.28,0.3,0.28,0.25,0.23,0.32,0.22,0.29,0.22,0.24,0.35,0.48,0.68,0.43,0.49,0.35,0.37,0.31,0.39,0.38,0.55,0.67,0.65,0.94,1.32,0.6,0.39,0.36,0.25,0.29,0.24,0.36,0.24,0.23,0.29,0.37,0.3,0.23,0.36,0.35,0.35
Hainan,0.91,0.89,0.73,0.47,0.32,0.48,0.35,0.23,0.21,0.13,0.09,0.1,0.07,0.09,0.09,0.09,0.05,0.12,0.1,0.07,0.06,0.07,0.05,0.07,0.06,0.08,0.09,0.11,0.09,0.06,0.07,0.06,0.04,0.04,0.1,0.13,0.28,0.14,0.12,0.12,0.13,0.18,0.07,0.13,0.06,0.13,0.11,0.18,0.12,0.18,0.09,0.09,0.12
Guizhou,1.41,1.39,1.33,1.55,1.86,1.47,1.03,0.87,0.76,0.56,0.4,0.57,0.46,0.39,0.48,0.42,0.35,0.41,0.32,0.32,0.31,0.47,0.23,0.44,0.44,0.64,0.51,0.59,0.78,0.85,0.7,0.84,0.87,0.85,1.12,1.27,1.03,0.39,0.63,0.38,0.54,0.43,0.41,0.56,0.39,0.44,0.24,0.39,0.33,0.44,0.46,0.4,0.44
Tianjin,0.28,0.23,0.32,0.65,0.86,0.62,0.43,0.37,0.29,0.35,0.24,0.31,0.25,0.14,0.21,0.2,0.23,0.27,0.22,0.46,0.24,0.3,0.39,0.38,0.54,0.52,0.43,0.71,0.44,0.44,0.46,0.29,0.52,0.47,0.59,0.36,0.33,0.18,0.3,0.17,0.23,0.23,0.23,0.26,0.14,0.19,0.13,0.22,0.15,0.27,0.2,0.3,0.33
Shanxi,1.22,1.2,0.89,0.67,0.61,0.35,0.33,0.35,0.28,0.35,0.43,0.51,0.4,0.29,0.35,0.25,0.25,0.27,0.2,0.43,0.25,0.29,9.26,14.75,0.28,0.51,4.78,0.28,0.34,0.32,0.35,0.25,0.21,0.2,0.23,0.24,0.36,0.35,0.39,0.38,0.48,0.36,0.36,0.49,0.31,0.37,0.45,0.38,0.48,0.38,0.6,0.34,0.33
Gansu,0.8,0.71,0.65,0.5,0.46,0.62,0.45,0.29,0.24,0.29,0.28,0.52,0.38,0.42,0.31,0.31,0.18,0.31,0.23,0.23,0.24,0.3,0.14,0.23,0.36,0.35,0.27,0.29,0.45,0.32,0.24,0.31,0.21,0.48,0.44,0.47,0.47,0.34,0.34,0.42,0.44,0.4,0.52,0.27,0.39,0.35,0.37,0.47,0.35,0.36,0.32,0.4,0.19
Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liaoning,0.58,0.46,0.39,0.28,0.36,0.51,0.42,0.3,0.21,0.12,0.21,0.42,0.18,0.22,0.32,0.31,0.24,0.23,0.21,0.28,0.28,0.26,0.31,0.3,0.28,0.35,0.35,0.28,0.32,0.28,0.28,0.19,0.21,0.19,0.21,0.32,0.52,0.31,0.37,0.47,0.44,0.49,0.43,0.38,0.37,0.34,0.22,0.28,0.26,0.36,0.38,0.26,0.27
Jilin,0.31,0.28,0.24,0.15,0.13,0.26,0.31,0.21,0.23,0.28,0.23,0.96,0.28,0.25,0.3,0.4,0.28,0.25,0.21,0.24,0.25,0.16,0.11,0.15,0.2,0.09,0.3,0.17,0.24,0.22,0.1,0.12,0.11,0.08,0.05,0.1,0.2,0.24,0.37,0.24,0.14,0.28,0.23,0.39,0.24,0.3,0.18,0.19,0.18,0.28,0.31,0.13,0.08
Xinjiang,0.23,0.24,0.19,0.09,0.12,0.25,0.48,0.44,0.31,0.18,0.11,0.19,0.11,0.15,0.15,0.15,0.1,0.12,0.13,0.09,0.12,0.1,0.06,0.04,0.07,0.08,0.14,0.06,0.07,0.06,0.06,0.08,0.04,0.04,0.02,0.04,0.1,0.12,0.08,0.12,0.07,0.1,0.08,0.09,0.14,0.12,0.12,0.05,0.08,0.08,0.08,0.06,0.04
Inner Mongolia,0.31,0.26,0.23,0.15,0.19,0.23,0.23,0.2,0.21,0.11,0.14,0.29,0.22,0.33,0.19,0.17,0.22,0.09,0.2,0.19,0.33,0.23,0.11,0.13,0.18,0.17,0.08,0.12,0.12,0.13,0.1,0.17,0.06,0.12,0.16,0.09,0.14,0.1,0.17,0.15,0.17,0.23,0.3,0.15,0.21,0.18,0.17,0.33,0.16,0.26,0.17,0.23,0.09
Ningxia,0.11,0.07,0.09,0.07,0.1,0.19,0.17,0.14,0.12,0.1,0.1,0.08,0.18,0.04,0.1,0.09,0.09,0.04,0.0,0.05,0.07,0.04,0.04,0.02,0.08,0.04,0.11,0.05,0.13,0.09,0.02,0.08,0.09,0.06,0.08,0.07,0.11,0.08,0.07,0.03,0.11,0.15,0.08,0.12,0.11,0.07,0.05,0.15,0.13,0.08,0.14,0.35,0.11
Qinghai,0.08,0.08,0.06,0.05,0.08,0.13,0.14,0.16,0.04,0.15,0.04,0.06,0.11,0.08,0.04,0.02,0.04,0.04,0.01,0.06,0.08,0.04,0.06,0.01,0.02,0.08,0.04,0.03,0.04,0.04,0.15,0.07,0.05,0.05,0.11,0.09,0.05,0.05,0.04,0.0,0.03,0.04,0.02,0.07,0.06,0.07,0.06,0.06,0.07,0.07,0.1,0.11,0.07
Macau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tibet,0.01,0.02,0.01,0.0,0.0,0.0,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.02,0.03,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.02,0.01,0.03,0.04,0.02,0.04,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.0
